"","var","ate","se"
"1","new_games",0.0247769226406386,0.0149670274205626
"2","old_games",0.0186932077235708,0.00773013367474172
"3","small_publisher",0.0243674193350149,0.0155763387464565
"4","big_publisher",0.0193859390076721,0.00757570772466856
"5","inexpensive",0.0238409090124043,0.0166079592139564
"6","expensive",0.0198808630673755,0.00671768109304467
"7","high_quality",0.0263584724484452,0.00464741779364821
"8","low_quality",0.0194071895620159,0.0137278582504862
"9","niche",0.0274113539727574,0.00587659416998285
"10","mainstream",0.0104780382834858,0.00886755076204751
