="",="(1)",="",="",="",="",="",=""
="",="mean",="sd",="p5",="p25",="p50",="p75",="p95"
="Num Streams All",="54155.0",="262727.3",="48.4",="933.2",="6798.2",="26469.7",="166027.2"
="Num Streams Top",="637.5",="3786.6",="2.0",="13.0",="54.7",="217.0",="1999.0"
="Hours Streamed 1000s",="134.6",="660.0",="0.1",="1.8",="13.2",="65.9",="441.8"
="Hours Viewed 1000s",="7553.0",="55742.1",="6.3",="92.7",="497.6",="2125.4",="17991.1"
="Hours Played 1000s",="30072.0",="166850.5",="5.4",="259.8",="1700.0",="12252.0",="101052.0"
="Num Streams All per Day",="195.5",="948.5",="0.2",="3.4",="24.5",="95.6",="599.4"
="Num Streams Top per Day",="2.3",="13.7",="0.0",="0.0",="0.2",="0.8",="7.2"
="Hours Streamed per Day",="486.1",="2382.6",="0.2",="6.4",="47.6",="238.1",="1595.0"
="Hours Viewed per Day",="27267.0",="201235.1",="22.9",="334.5",="1796.4",="7673.1",="64949.8"
="Hours Played per Day",="130181.8",="722296.6",="23.2",="1124.9",="7359.4",="53039.1",="437454.4"
