num,streamer,primary_game,avg_concur_viewers,max_concur_viewers,daily_hours,sd_daily_hours,weekly_hours,sd_weekly_hours,avg_start_hour,avg_start_min,sd_start_hour,sd_start_min,avg_end_hour,avg_end_min,sd_end_hour,sd_end_min
1,"auronplay","MINECRAFT",104807,318181,3.9000001,.90151042,19.5,7.0013433,15,20,0,50,19,20,0,50
2,"ranboolive","MINECRAFT",75695,234626,2.5,1.7433029,11.9,7.2433505,21,0,2,50,23,40,3,10
3,"ibai","MINECRAFT",75297,1538645,4.9000001,3.4083333,27.9,12.860668,16,30,2,50,21,20,2,30
4,"sapnap","MINECRAFT",72992,186592,2,1.4558059,3.0999999,2.2977157,22,20,3,20,0,20,2,40
5,"xqcow","GRAND THEFT AUTO V",72479,175453,15.6,7.6812778,94.800003,37.809692,14,0,7,20,5,40,4,20
6,"loud_coringa","GRAND THEFT AUTO V",65029,307450,7.5999999,5.4654317,36.799999,22.104769,21,10,5,20,4,50,3,0
7,"rocketleague","ROCKET LEAGUE",57650,208124,5,2.3310456,18.299999,11.178505,18,10,3,30,23,10,3,40
8,"flashpoint","COUNTER-STRIKE: GLOBAL OFFENSIVE",52655,128800,7.3000002,3.3517442,27.9,15.084361,15,10,1,50,22,30,3,30
9,"asmongold","WORLD OF WARCRAFT",52135,135042,7.4000001,1.727078,27.299999,10.399852,15,10,1,20,22,40,2,20
10,"thisisnotgeorgenotfound","MINECRAFT",50243,113707,3.5,4.3523498,5,6.610857,21,40,7,0,1,10,6,20
11,"montanablack88","GRAND THEFT AUTO V",48523,159731,6.1999998,3.1614711,25.5,17.357199,15,20,2,50,21,30,2,20
12,"rubius","MINECRAFT",44379,207592,5.3000002,1.8696692,22.700001,9.8388882,17,30,1,0,22,50,1,50
13,"mizkif","JUMP KING",35246,189851,5.9000001,3.3042092,27.700001,14.155569,20,20,2,30,2,20,3,10
14,"karlnetwork","MINECRAFT",33127,93412,5.5,6.6925888,13.1,12.6755,20,40,8,50,2,10,7,50
15,"shroud","VALORANT",31043,334836,11.3,6.4985905,59.5,32.311798,16,30,5,20,3,50,5,10
,"Average Top","N/A",2372,17967.17346534654,8.1999998,4.5340495,41.799999,19.621088,15,20,4,0,23,40,4,20
,"Average All","N/A",148,1276.197399201872,5.4000001,3.844898,21.299999,13.302268,17,40,4,20,23,0,4,20
